Country,Year,Status,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles,BMI,under-five deaths,Polio,Total expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness  1-19 years,thinness 5-9 years,Income composition of resources,Schooling
Republic of Moldova,2014,Developing,162.0,1,9.99,0.0,92.0,2,52.7,1,92.0,1.32,9.0,0.1,,,2.7,2.8,,
Republic of Moldova,2013,Developing,163.0,1,10.49,0.0,91.0,27,52.1,1,92.0,1.5,9.0,0.1,,,2.7,2.9,,
Republic of Moldova,2012,Developing,175.0,1,10.68,0.0,94.0,11,51.5,1,92.0,11.87,92.0,0.1,,,2.7,2.9,,
Republic of Moldova,2011,Developing,177.0,1,9.45,0.0,96.0,0,5.9,1,96.0,1.61,93.0,0.1,,,2.8,3.0,,
Republic of Moldova,2010,Developing,219.0,1,8.25,0.0,98.0,0,5.4,1,97.0,12.8,9.0,0.1,,,2.8,3.0,,
Samoa,2015,Developing,125.0,0,,0.0,59.0,0,74.7,0,61.0,,66.0,0.1,4149.363444,193759.0,0.2,0.1,0.702,12.9
Samoa,2014,Developing,128.0,0,0.01,660.2777923,56.0,0,74.3,0,58.0,7.22,63.0,0.1,4178.973369,19229.0,0.2,0.1,0.701,12.9
Samoa,2013,Developing,131.0,0,0.01,698.3522786,6.0,0,73.8,0,62.0,6.91,67.0,0.1,4219.65123,19757.0,0.2,0.1,0.7,12.9
Samoa,2012,Developing,136.0,0,0.01,492.0552263,64.0,1,73.4,0,62.0,5.2,64.0,0.1,4234.554443,189194.0,0.2,0.1,0.698,12.9
Samoa,2011,Developing,139.0,0,2.15,558.7206486,58.0,0,72.9,0,6.0,5.8,65.0,0.1,3942.9827,187665.0,0.2,0.1,0.693,12.9
Samoa,2010,Developing,144.0,0,3.01,434.7940679,57.0,8,72.5,0,57.0,5.7,62.0,0.1,3453.487434,18625.0,0.2,0.2,0.69,12.9
Sierra Leone,2015,Developing,413.0,22,,0.0,86.0,607,24.4,30,86.0,,86.0,0.5,587.538233,723725.0,7.4,7.3,0.431,9.5
Sierra Leone,2014,Developing,463.0,23,0.01,1.443286353,83.0,1006,23.8,32,83.0,11.9,83.0,0.6,78.4394757,779162.0,7.5,7.4,0.426,9.5
Sierra Leone,2013,Developing,47.0,23,0.01,1.321464076,92.0,15,23.3,33,92.0,11.59,92.0,0.8,71.8186998,692279.0,7.7,7.6,0.413,9.3
Sierra Leone,2012,Developing,411.0,25,0.01,54.56033696,91.0,678,22.7,35,91.0,11.24,91.0,0.9,561.8984239,676613.0,7.9,7.8,0.401,9.1
Sierra Leone,2011,Developing,418.0,26,3.78,54.6659175,89.0,1865,22.2,38,88.0,11.98,89.0,1.3,445.525,6611692.0,8.1,8.0,0.392,8.9
Sierra Leone,2010,Developing,424.0,27,3.84,5.347717533,86.0,1089,21.7,40,84.0,1.32,86.0,1.6,45.128418,645872.0,8.3,8.2,0.384,8.7
Suriname,2015,Developing,176.0,0,,0.0,89.0,0,58.3,0,89.0,,89.0,0.4,8818.982566,55328.0,3.5,3.5,0.723,12.7
Suriname,2014,Developing,178.0,0,6.32,1132.432517,85.0,0,57.7,0,85.0,5.69,85.0,0.4,9564.46383,547928.0,3.5,3.5,0.722,12.7
Suriname,2013,Developing,179.0,0,6.02,1122.972967,86.0,0,57.0,0,86.0,5.96,86.0,0.4,9484.56898,54254.0,3.5,3.5,0.719,12.7
Suriname,2012,Developing,178.0,0,5.73,1168.324095,84.0,0,56.3,0,84.0,6.9,84.0,0.9,9272.413453,53777.0,3.5,3.4,0.708,12.7
Suriname,2011,Developing,187.0,0,5.64,989.1263558,86.0,0,55.5,0,86.0,5.93,86.0,0.1,8318.97692,531589.0,3.5,3.4,0.704,12.5
Suriname,2010,Developing,19.0,0,5.26,99.08095375,86.0,0,54.8,0,96.0,5.81,96.0,0.5,833.31332,52613.0,3.5,3.4,0.7,12.3
Syrian Arab Republic,2015,Developing,293.0,6,,0.0,41.0,45,57.1,8,5.0,,41.0,0.1,,18734987.0,6.3,6.1,0.553,9.0
Syrian Arab Republic,2014,Developing,294.0,7,0.01,0.0,47.0,594,56.2,8,52.0,3.25,43.0,0.1,,19239.0,6.3,6.1,0.575,9.0
Syrian Arab Republic,2013,Developing,37.0,7,0.01,0.0,71.0,740,55.2,9,5.0,3.25,41.0,0.1,,1989141.0,6.3,6.1,0.635,13.0
Syrian Arab Republic,2012,Developing,32.0,7,0.01,0.0,43.0,13,54.2,9,47.0,3.25,45.0,0.1,,24271.0,6.3,6.1,0.645,12.5
Syrian Arab Republic,2011,Developing,163.0,7,0.76,0.0,66.0,13,53.2,8,6.0,3.23,72.0,0.1,,2863993.0,6.3,6.1,0.646,12.0
Syrian Arab Republic,2010,Developing,127.0,7,0.78,0.0,84.0,26,52.3,9,83.0,3.28,8.0,0.1,,2118834.0,6.4,6.1,0.65,11.7
United States of America,2015,Developed,13.0,23,,0.0,92.0,188,69.6,26,93.0,,95.0,0.1,,,0.8,0.6,,
United States of America,2014,Developed,14.0,23,8.82,0.0,92.0,667,69.1,27,93.0,17.14,95.0,0.1,,,0.8,0.6,,
United States of America,2013,Developed,16.0,23,8.82,0.0,91.0,187,68.6,27,93.0,16.9,94.0,0.1,,,0.7,0.6,,
United States of America,2012,Developed,16.0,24,8.82,0.0,9.0,55,68.0,28,93.0,17.2,94.0,0.1,,,0.7,0.6,,
United States of America,2011,Developed,16.0,25,8.67,0.0,91.0,220,67.5,29,94.0,17.6,96.0,0.1,,,0.7,0.6,,
United States of America,2010,Developed,15.0,25,8.55,0.0,92.0,63,66.9,30,93.0,17.2,95.0,0.1,,,0.7,0.6,,
Zambia,2015,Developing,33.0,27,,0.0,9.0,9,23.4,40,9.0,,9.0,4.1,1313.889646,161587.0,6.3,6.1,0.576,12.5
Zambia,2014,Developing,314.0,28,0.01,196.6675768,86.0,9,22.8,41,78.0,4.99,86.0,4.3,1738.8822,1562974.0,6.3,6.2,0.57,12.5
Zambia,2013,Developing,328.0,29,2.41,20.62306285,79.0,35,22.3,42,74.0,4.99,79.0,4.8,185.793359,1515321.0,6.4,6.2,0.565,12.5
Zambia,2012,Developing,349.0,29,2.59,196.9152496,78.0,896,21.7,43,7.0,4.91,78.0,5.6,1734.93612,14699937.0,6.5,6.3,0.554,12.3
Zambia,2011,Developing,366.0,29,2.57,183.0461695,81.0,13234,21.2,44,83.0,4.26,81.0,6.3,1644.619672,14264756.0,6.6,6.4,0.543,12.0
Zambia,2010,Developing,363.0,30,2.47,184.3649102,83.0,15754,2.7,45,8.0,4.41,83.0,6.8,1463.213573,138533.0,6.7,6.5,0.533,11.8
